model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,0,0.518444829861413,0.1941775940630171
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,1,0.6191498219265852,0.1873578484760315
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,2,0.6020507531807925,0.09451820988097637
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,3,0.5431936660173539,0.09746164339605141
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,4,0.5503722934265535,0.10983425413764158
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,5,0.5663419793828552,0.11514883832722636
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,6,0.6181078717068089,0.13482371818539937
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,7,0.6614747923334441,0.15150671075859132
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,8,0.6803395028189878,0.17342777158209335
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,9,0.700662272534679,0.18067853701970651
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,10,0.6965357979188439,0.18811512747025605
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,11,0.6871131356044627,0.18778310550177152
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,12,0.6875333281212651,0.19944727922330513
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,0,0.307921852214217,0.01862240886296587
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,1,0.3014881719890392,0.02827611974280937
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,2,0.34782424493186415,0.026027218910747107
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,3,0.36042534367101575,0.029947991913452047
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,4,0.3579453592215088,0.03503087795607381
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,5,0.355770092555082,0.038564662936070665
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,6,0.3617580385977237,0.04192975236806939
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,7,0.36530249790027053,0.04346290204528191
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,8,0.36112152110159657,0.04418197973385403
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,9,0.3543130707449495,0.04232512945911287
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,10,0.33941180240454666,0.03946162132022955
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,11,0.3238848925940295,0.035781081197718466
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,12,0.3282318889299383,0.037013052440739984
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,0,0.5078131647801403,0.18903871501140673
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,1,0.6409360149537898,0.21548150883266176
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,2,0.6778671052069929,0.15519582758336306
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,3,0.6481696742020095,0.1776827814661216
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,4,0.6683036385837742,0.19937795880004822
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,5,0.6761103984656036,0.2101225750502366
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,6,0.7040960842976637,0.2130964057318604
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,7,0.7248716897366263,0.21355457775408693
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,8,0.7235876990042085,0.21212071038635938
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,9,0.7296066537950305,0.20526889700967885
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,10,0.7227704342658514,0.20708107819640825
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,11,0.7148029914583348,0.20222149342586282
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,12,0.711940040643917,0.20731893904444684
