model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,0,0.5164987452825808,0.18663813065850504
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,1,0.6205251518475876,0.16394326532395673
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,2,0.5956237733140459,0.08490469703893898
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,3,0.5649956932437827,0.07693184986094685
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,4,0.5755633077395911,0.08126825302115542
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,5,0.6123598432255628,0.0827151925879894
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,6,0.6629265253076729,0.09776992786811957
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,7,0.6799395034523067,0.12023473449347666
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,8,0.6904666682044039,0.1410369924356321
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,9,0.7194763001871465,0.14752564809638707
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,10,0.7265636973724784,0.15386562517648322
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,11,0.727661838265096,0.15826260525385794
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,12,0.7352649142737548,0.1713953140026821
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,0,0.043745580236751985,0.0171140163255567
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,1,0.10483541189082257,0.02162311492448393
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,2,0.11155295129924968,0.019101964608005586
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,3,0.12340652383200747,0.019380098783378444
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,4,0.1423136553059199,0.020550155223370822
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,5,0.14835345796327992,0.021757621297134995
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,6,0.17876155218106077,0.023506158055806827
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,7,0.2017455161910764,0.024785112924187294
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,8,0.2268990772722442,0.024962777433887477
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,9,0.2613372006899259,0.024192482582682865
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,10,0.26961403350505186,0.023472948617923164
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,11,0.2711821200411416,0.022152167315225464
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,12,0.30038361082931425,0.023364946986864983
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,0,0.5318458386214565,0.19797535357087034
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,1,0.6405640783494962,0.1966966724373501
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,2,0.6794991942522959,0.14773578491209144
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,3,0.6539594098113619,0.15175848491361998
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,4,0.6709736241882847,0.15980435020238842
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,5,0.6853710201692755,0.16590191354981507
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,6,0.7158874688242517,0.17199460441188563
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,7,0.7270846168340339,0.17774026898093934
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,8,0.7356046048817404,0.17392747478290202
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,9,0.7556520844951455,0.1662228185356961
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,10,0.7583693347174597,0.1658421209516266
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,11,0.7589833057607309,0.1636984563211695
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,12,0.7604282930596215,0.17136859456263673
