model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,0,0.9659722368580632,0.17939530325660938
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,1,0.7868989241958699,0.18575624035915037
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,2,0.7839496456591769,0.10207453433554795
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,3,0.8696615705212809,0.08654363464850542
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,4,0.903664110531316,0.08978697524753243
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,5,0.9071228122860788,0.0939484699244943
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,6,0.917298390164819,0.11693170072308384
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,7,0.9168946465768897,0.13941546444490827
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,8,0.9099398530885695,0.15995287602501523
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,9,0.9011663964137915,0.16532656530875517
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,10,0.8896747497390177,0.1697756892760095
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,11,0.8797009371219076,0.17127012567918704
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,12,0.8739829849545436,0.18056585822773685
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,0,0.9571581574878615,0.007190917558347868
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,1,0.7807681630004729,0.017159067383813332
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,2,0.8546537086007172,0.015443018522409407
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,3,0.8745783498070193,0.016410210286070752
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,4,0.8718603884199129,0.018502037546330213
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,5,0.8557624957807857,0.020480452310743833
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,6,0.8403722440285388,0.024490229562067714
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,7,0.818455715031695,0.02750660842653263
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,8,0.8093787166835985,0.02900420238668669
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,9,0.8089190940722956,0.02782611159446834
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,10,0.8004690754488537,0.025663557741839836
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,11,0.7834452307554554,0.022749994161328432
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,12,0.7911884212677005,0.022961145942745613
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,0,0.9627378270921785,0.19253365043029033
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,1,0.8406911162299273,0.22854162282042145
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,2,0.8860492627733016,0.18673610799565876
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,3,0.9159423810839933,0.17821151297461682
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,4,0.9142731855322,0.17738901853927658
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,5,0.9022953243769809,0.18354937996788293
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,6,0.9016719980361552,0.19970368331026012
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,7,0.8985679009029993,0.20615033900200339
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,8,0.8876963968728817,0.2056932224971298
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,9,0.8878974234614618,0.18824083701173963
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,10,0.8811503411955911,0.18291003413060392
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,11,0.8717995322546321,0.17943891335053969
goldfish-models/spa_latn_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,12,0.8657710657041211,0.18535283395067573
