model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,0,0.4948251905139012,0.1799715088947708
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,1,0.6437688646031592,0.2028048049751493
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,2,0.6580519560759688,0.15076946802239416
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,3,0.6673606306422037,0.1111397192702106
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,4,0.6613453403940159,0.10259831301335504
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,5,0.6717510045748668,0.10340604153722775
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,6,0.6782561772205195,0.11926563036356146
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,7,0.6980305027434871,0.136671422333109
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,8,0.7122785126877634,0.14751644683754225
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,9,0.7291181727798427,0.1513349691341581
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,10,0.7341332107781899,0.15065385672317866
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,11,0.733487956651745,0.14960085612535529
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,12,0.7343201737136137,0.15096097230610733
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,0,0.3059871501283834,0.014827612197623428
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,1,0.3002806138515586,0.023191130864903407
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,2,0.3539601764785192,0.021496055244565524
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,3,0.3839730241390429,0.02247250043551771
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,4,0.40660537276277975,0.0238863325261982
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,5,0.4142372441815018,0.025869031304478225
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,6,0.40602731026682337,0.030845321754712544
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,7,0.39445164106126934,0.034255105586973734
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,8,0.39082187741219127,0.035944623427554986
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,9,0.3871640706411837,0.035452900438561336
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,10,0.38185376401181775,0.03297590035214844
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,11,0.37183405951325177,0.030042414782844327
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,12,0.3754351577338793,0.028107750083001152
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,0,0.5067838314736287,0.17644639340083426
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,1,0.6441341094475806,0.20871638848340768
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,2,0.6680476881982687,0.16971290029501582
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,3,0.6779326788914055,0.13805624858675988
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,4,0.6581351104416595,0.13102272963899259
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,5,0.6698698886772176,0.1405050990704371
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,6,0.6970070572518474,0.1659376541482636
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,7,0.7258392276464757,0.17151682426608925
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,8,0.7380563491083144,0.16609450351478436
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,9,0.7578025362229762,0.15606820651496414
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,10,0.760789699945228,0.14698043427885205
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,11,0.7577893902638727,0.1422811506853106
goldfish-models/spa_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,12,0.75618320089158,0.1374846942438805
