model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,0,0.5178818115130936,0.19828418027387462
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,1,0.5512119380348053,0.1803138201148406
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,2,0.5433560985183135,0.10360054974057414
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,3,0.5332353390791532,0.10313665581674948
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,4,0.4959998871596267,0.09345100834343932
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,5,0.4896339179835589,0.08983923655486363
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,6,0.48489807689733183,0.09235835670542425
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,7,0.5075726659932785,0.11137456876958238
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,8,0.5632971309652889,0.1420806785095367
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,9,0.6203699119635561,0.16151623013348892
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,10,0.6545273639527602,0.1720722873473776
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,11,0.6682883081546213,0.17356989105292958
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,12,0.6925372601423195,0.1888158085416787
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,0,0.06270146928233682,0.024407891655201207
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,1,0.1334951339362614,0.022578994440690593
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,2,0.14816415230863575,0.019965926227890333
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,3,0.1782631699823148,0.022280453816143485
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,4,0.19528303601995053,0.024670278095381186
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,5,0.21018719290113325,0.02673781636751365
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,6,0.223242759369572,0.02823481038266295
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,7,0.2440949313974647,0.029048768085289382
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,8,0.2653818809820799,0.0295047278115829
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,9,0.29255539605203196,0.028483866856185085
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,10,0.29754617810511474,0.026775369735163687
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,11,0.29109798546573684,0.02470706793981565
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,12,0.3036819846611945,0.025326687897390114
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,0,0.5456409076220254,0.1899603179310301
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,1,0.6077292742839651,0.22410006064936827
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,2,0.6446643086911742,0.1708398696166513
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,3,0.6450836201378574,0.18249564129561266
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,4,0.6620763547713284,0.19102603401088966
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,5,0.6746160181227455,0.1916934707891493
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,6,0.6807504270290691,0.20021162545242535
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,7,0.6892946696998684,0.20518513179549142
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,8,0.7013198159922398,0.21035856419951954
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,9,0.7097147434589943,0.19909497969477552
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,10,0.7106343441815979,0.19259290483168026
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,11,0.7067175280672934,0.1822686820735016
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,12,0.71053386223927,0.18697961920816675
