model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,0,0.6356661866573705,0.20804625946607994
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,1,0.7206136839779242,0.16896678412544822
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,2,0.730625310718095,0.07796139425035792
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,3,0.725041066645619,0.07796535245589273
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,4,0.7130319392332596,0.0788893607579075
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,5,0.6998618707697318,0.08232154053562336
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,6,0.691523594338713,0.09281117952273497
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,7,0.6920548496783819,0.1147569734934137
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,8,0.7150454326296437,0.15415759360606404
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,9,0.7548800482435758,0.179051171787874
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,10,0.764862893898668,0.19478684678065555
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,11,0.7619412829072423,0.20028368691837511
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,mean_pool,12,0.7746743061783193,0.2279909690683706
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,0,0.06344909321346014,0.018928031085828495
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,1,0.12007898948077837,0.025044640525595043
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,2,0.13384177729406443,0.022664035979075122
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,3,0.15434117904836722,0.025092326304621226
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,4,0.17236719439219056,0.028078849973439055
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,5,0.19056541798293047,0.03057921336455541
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,6,0.20411315764597174,0.03201289798992002
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,7,0.22668344934950704,0.033004789917300145
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,8,0.25787589559963225,0.03304432155740495
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,9,0.27534980042438706,0.03135064171181277
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,10,0.28067183100680365,0.028861614039747
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,11,0.2767373034445515,0.02592929133673507
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,token_aligned,12,0.31410378964554053,0.028625739275536435
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,0,0.6400708579133525,0.21130694048480203
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,1,0.705556165543518,0.23555433958278518
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,2,0.7312773180232535,0.1873786529484048
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,3,0.7289753218391676,0.19312138897817074
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,4,0.7396499931862555,0.20540450700308605
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,5,0.748689696964534,0.21629665931156636
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,6,0.7526111702317844,0.2297004565503049
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,7,0.7690388142014907,0.23789149884997396
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,8,0.788131490082029,0.24464191101015761
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,9,0.7994865295207524,0.23110519224047968
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,10,0.7929380979116881,0.22586063142333876
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,11,0.7841875652529634,0.2207268771701364
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,flores,sgpt,12,0.7898084420391938,0.2350931548152971
