model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,0,0.5904134977115033,0.1952813001510316
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,1,0.561304438489207,0.1670907116930559
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,2,0.5265007532596486,0.09532029038603461
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,3,0.5722723347854002,0.09640485811174859
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,4,0.572444568934047,0.09133728698476602
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,5,0.5842986771323265,0.08462633564961457
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,6,0.5898813784745349,0.08708012596636923
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,7,0.6149873496065634,0.10387681545814478
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,8,0.6589997306389492,0.13555005159118536
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,9,0.7001894393979547,0.15727043351521747
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,10,0.7228212979590838,0.1637397461242315
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,11,0.7240603525029737,0.1637792744480562
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,12,0.7511075448403486,0.18220028281104353
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,0,0.05152678574847986,0.01820280057715232
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,1,0.13595771130718973,0.02084837675113222
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,2,0.1486961152789903,0.018529062293791542
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,3,0.17253254886254377,0.019914962564236825
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,4,0.18053287461711992,0.02193229714326941
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,5,0.18878569593045355,0.022759879788757122
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,6,0.21246746182006504,0.024043349741612766
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,7,0.2472486126799875,0.025796876695057803
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,8,0.2751375563455487,0.02642511167602891
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,9,0.29473019982174875,0.025708135299949184
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,10,0.3160017945045392,0.023777733587852696
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,11,0.32376655422375566,0.02162859088904531
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,12,0.34426762072192535,0.02219917872325276
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,0,0.5968376388843246,0.19843008773653056
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,1,0.6431257616765853,0.21181044812217978
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,2,0.682161434510851,0.17172811158493748
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,3,0.7021337123517455,0.17353551373185608
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,4,0.7072238821456309,0.1840590627346215
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,5,0.7197327315894899,0.18192476265064508
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,6,0.7245697770933852,0.18427916719028725
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,7,0.7475456999367229,0.19714580804151524
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,8,0.756451551203998,0.2105143311498587
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,9,0.7624148337712477,0.19880146503787655
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,10,0.7635293437748806,0.1878162098778954
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,11,0.752646843603102,0.17645291983771239
goldfish-models/zho_hans_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,12,0.7632646928106638,0.1814611433455786
