model_a,model_b,lang,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,0,0.7907924586295563,0.3130077127327962
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,1,0.7351066492002656,0.2401345802246865
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,2,0.6297070803926258,0.14016037042746557
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,3,0.7003448956261329,0.14230288203300082
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,4,0.8466790967303753,0.03549703287485403
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,5,0.8220639765039859,0.034840024846273854
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,6,0.7640617865221245,0.038512836175025274
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,7,0.6905164296364742,0.04106194134874817
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,8,0.5776713109721261,0.04311841226015932
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,9,0.4822947197208566,0.043618988635511204
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,10,0.41474233025385965,0.04588366294371783
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,11,0.39994522712558406,0.04965973286525535
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,mean_pool,12,0.14797541832228495,0.052858899612763015
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,0,0.8195704877240009,0.021035770803273245
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,1,0.6980765487071958,0.021855250296548192
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,2,0.6596151310980863,0.02474468310236685
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,3,0.46416002153943303,0.01663691846368421
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,4,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,5,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,6,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,7,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,8,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,9,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,10,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,11,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,token_aligned,12,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,0,0.7498440168203541,0.3192438555540414
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,1,0.810397913224348,0.2850764424463152
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,2,0.7825692465382497,0.2396165472890239
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,3,0.820151932021639,0.25199591782834674
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,4,0.7231780620081896,0.1821437560478431
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,5,0.6719496313922028,0.18165509780837402
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,6,0.657292993406995,0.1932291439178821
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,7,0.6507602213556121,0.20793404675825697
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,8,0.637736821836985,0.2218157593380997
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,9,0.655065257813519,0.22280033603146093
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,10,0.6727546619351721,0.22896741650063993
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,11,0.67793544128403,0.231543015474736
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-1.4b,eng_latn,sgpt,12,0.6546064329200968,0.25088775474494773
