model_a,model_b,lang,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,0,0.787917682707398,0.3030354310116344
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,1,0.7148280484751734,0.21053096504705776
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,2,0.6514621675772618,0.10576045868752794
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,3,0.6580429304188821,0.0977305215572998
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,4,0.6581485930953749,0.1323984797853414
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,5,0.6210907466503495,0.15375801168783979
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,6,0.7819946262107389,0.041883124958863725
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,7,0.6887808028321902,0.03847847355880671
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,8,0.5693901386243779,0.03840377094101652
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,9,0.46585136924884524,0.036935835695110386
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,10,0.39499329652746923,0.03865650261520147
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,11,0.37594485223747076,0.041794764970586394
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,mean_pool,12,0.12121048066807039,0.042574759568712484
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,0,0.7673040998503279,0.02191266825271132
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,1,0.6608513149094289,0.01676549318466089
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,2,0.5501638291920303,0.012322123044661954
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,3,0.5410644042983324,0.012529326588889916
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,4,0.6380737288705336,0.02030673575976795
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,5,0.6146601962903088,0.025113448417988276
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,6,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,7,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,8,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,9,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,10,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,11,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,token_aligned,12,nan,nan
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,0,0.753821509656988,0.3076028081384007
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,1,0.7684856239540322,0.2385035475759097
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,2,0.704285694407989,0.17386482825231153
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,3,0.6785985780406867,0.16608745950652695
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,4,0.8432804903469934,0.22997237154238043
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,5,0.8753684417971006,0.25131417769811265
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,6,0.8114222840670373,0.20288851032775332
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,7,0.60993236522259,0.1625308610377687
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,8,0.5373153414791472,0.15129178169555643
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,9,0.4726064750923201,0.13729692093665374
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,10,0.4761538700044044,0.1340585570485152
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,11,0.4942229927101976,0.1394119898819669
goldfish-models/eng_latn_1000mb,EleutherAI/pythia-410m,eng_latn,sgpt,12,0.4076843002526468,0.13623231624425783
