model_a,model_b,lang,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,0,0.7355940032682254,0.3011316438392103
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,1,0.2861357835511221,0.0963054738666558
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,2,0.20606991849991285,0.052889591098998746
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,3,0.38357266256576905,0.05213470875020134
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,4,0.4663049443813254,0.052174844136028485
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,5,0.6543211099341588,0.04463518929695415
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,6,0.7140263069341807,0.04635821989801208
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,7,0.7969331538065785,0.04434179128207961
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,8,0.717858437433063,0.042933264548753895
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,9,0.5971121902251115,0.04297439083926369
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,10,0.4929140689608941,0.04107823621110594
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,11,0.42044181825359855,0.03999243737694726
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,mean_pool,12,0.19043882317159302,0.03941124856186744
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,token_aligned,0,0.7920893127621804,0.09140294293740832
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,token_aligned,1,0.37491099202594774,0.03020831605656704
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,token_aligned,2,0.4225537156429508,0.024686130250944023
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,token_aligned,3,0.40407222168712864,0.02737429389753226
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,token_aligned,4,0.43891917828508686,0.031237977135169858
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,token_aligned,5,0.3807539215793187,0.03215688288043362
goldfish-models/zho_hans_1000mb,SJTU-CL/Zh-Pythia-1.4B,zho_hans,token_aligned,6,0.40774088677285686,0.034043765113972134
