model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,0,0.6830218030944086,0.37035176618751514
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,1,0.7572940389841509,0.325878148900709
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,2,0.7629525491334258,0.16745210916208675
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,3,0.7680315997162548,0.18283825461847486
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,4,0.78170614729392,0.2145579508946168
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,5,0.7904216126678797,0.23892211807675526
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,6,0.7901467327451975,0.26430359414133264
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,7,0.7800918726105953,0.29151235691979177
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,8,0.7695806069501036,0.32020348248007324
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,9,0.7729606124382247,0.32931145120841915
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,10,0.7783918783158486,0.3419749156785834
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,11,0.7751051220890574,0.33742892667127794
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,mean_pool,12,0.7970119603986052,0.3919932752201276
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,0,0.8975169298970896,0.44820578070994904
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,1,0.7662881339708664,0.5245394608205797
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,2,0.837605308023027,0.46557234585402774
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,3,0.8798777069284734,0.46348734441143485
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,4,0.8958948593318001,0.48930207993214997
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,5,0.8981729172947635,0.5077074222636749
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,6,0.9018164696555325,0.5212124489889256
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,7,0.9023702986070318,0.5108314286192644
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,8,0.8979142215857505,0.49682439273903384
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,9,0.8998660178949277,0.4815276473429826
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,10,0.8838593211368554,0.4759332793482297
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,11,0.8773362437358462,0.4628645716517775
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,token_aligned,12,0.9160922962868276,0.5032608217053686
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,0,0.6952106122674943,0.39109288121886515
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,1,0.7441519412214349,0.4334224845339693
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,2,0.7609462054545604,0.35352983212668265
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,3,0.7812546760739483,0.3648848423340643
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,4,0.8037433190073141,0.39715744219699634
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,5,0.8123939350362307,0.4158822383721574
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,6,0.8132480001451251,0.4076497476555509
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,7,0.8088368572810252,0.4150974051070351
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,8,0.8018182066340576,0.41303329653594606
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,9,0.7897094024773902,0.39652083960435025
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,10,0.7870492612450009,0.3882909270902432
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,11,0.7808641379735438,0.3781451486003478
goldfish-models/eng_latn_1000mb,goldfish-models/amh_ethi_1000mb,flores,sgpt,12,0.7995970444318069,0.406862434631284
