model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,0,0.657125491270615,0.20560491892274857
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,1,0.7814625759331885,0.17659918759698656
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,2,0.7953567591528836,0.06529589260317262
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,3,0.79705213298466,0.07801253819933142
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,4,0.7931244354110374,0.09921157642450004
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,5,0.8000169490671547,0.11895391140066812
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,6,0.8080751660708262,0.1518413393507977
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,7,0.8151907564998477,0.18434269190460617
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,8,0.8302427715959987,0.20995486535876612
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,9,0.8384796741998765,0.21550299687236987
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,10,0.8354041954967187,0.21991747746710738
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,11,0.8152515702080027,0.21908876936635333
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,mean_pool,12,0.8343650460168569,0.25981225161508437
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,0,0.8258306914098729,0.14790725901872717
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,1,0.7057564478275427,0.19241272080759173
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,2,0.749295525575145,0.17349705008100905
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,3,0.7707686391553031,0.18310686732561818
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,4,0.7732347255100905,0.20562930603263443
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,5,0.7737192305834676,0.22086241274945548
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,6,0.7797159402873176,0.22826198671349418
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,7,0.7872616999509364,0.23409581836711058
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,8,0.783133844454505,0.23888904795238958
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,9,0.7759573273626356,0.2335936959550184
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,10,0.7597224235354524,0.22342118920744944
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,11,0.73368499525873,0.20380065189790722
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,token_aligned,12,0.7571167126939689,0.22721219085482627
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,0,0.6595110865430942,0.1944914230951326
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,1,0.7563914761496822,0.23588788551260473
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,2,0.7756356674907046,0.1831133457719597
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,3,0.7908299577274707,0.2099703301133005
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,4,0.8173654773514692,0.239158871948039
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,5,0.833071742975147,0.2579915830323656
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,6,0.8477129708765105,0.26375369674146415
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,7,0.8557077553451038,0.26418339765287824
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,8,0.8631071082193446,0.26147777231654523
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,9,0.865504375235159,0.2442361939845094
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,10,0.8586958579019534,0.24441099393904892
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,11,0.8426560099163252,0.24497672703628473
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,flores,sgpt,12,0.8426964713857332,0.2705008151779913
