model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,0,0.6749917601007983,0.21696682294101147
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,1,0.7881007332704776,0.1736891751435676
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,2,0.8335268212681736,0.04515287497010067
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,3,0.8196228042142049,0.039779077841826445
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,4,0.814424287067323,0.04491348939872656
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,5,0.8076206238548229,0.05483101632183748
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,6,0.7902426333169593,0.0717808611395622
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,7,0.7814118127295125,0.09867582791373372
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,8,0.7643374914374601,0.13120261067011327
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,9,0.7720777401900772,0.15945376797425392
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,10,0.7861082266562125,0.1797798796749747
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,11,0.7879053332917206,0.1895481611233849
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,mean_pool,12,0.8071064537530177,0.24330173245669076
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,0,0.7666720444871165,0.26048627342399816
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,1,0.6802505928029269,0.24281907883336584
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,2,0.7322906923381974,0.21986032071119224
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,3,0.7616356057480246,0.21635828867914755
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,4,0.7732166732395604,0.22642042694337497
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,5,0.7817264203488351,0.24129405478520127
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,6,0.7899562122352304,0.25881777659952
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,7,0.8022145155253791,0.2676456740092348
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,8,0.8060707499080051,0.2694265019548386
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,9,0.8146652372947714,0.26761105199640073
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,10,0.8103425519636163,0.26367441415613524
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,11,0.7842167980841573,0.2515422311282113
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,token_aligned,12,0.8049275627139315,0.29238541915148275
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,0,0.6853609654904571,0.21673903640587103
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,1,0.7245286476324151,0.26341108239833344
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,2,0.76605577103087,0.20640804303353652
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,3,0.7705295409189652,0.19225211022163227
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,4,0.7912130432960263,0.20885775892437247
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,5,0.8103190683638941,0.22658528416645712
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,6,0.8244727736605068,0.23925362844142695
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,7,0.8377696974703115,0.2525361579315357
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,8,0.841972966456537,0.256711716085871
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,9,0.8329873029712229,0.24183239992724986
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,10,0.823976712638287,0.2325170100234877
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,11,0.8025730267348907,0.22971094749316187
goldfish-models/eng_latn_1000mb,goldfish-models/swa_latn_1000mb,flores,sgpt,12,0.8084979195829362,0.24881022291952967
