model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,0,0.665804119317886,0.1929031018100679
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,1,0.7773904076448387,0.17589592797460724
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,2,0.8136065705501238,0.06761183435927252
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,3,0.8173045355490028,0.07274256247514957
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,4,0.8050635749092638,0.09600469026867706
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,5,0.8083478298062134,0.11787702846661428
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,6,0.8243580493846338,0.1378718633786169
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,7,0.8347010242458229,0.16597726502652985
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,8,0.8345007574096612,0.19430190968233194
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,9,0.830415590749771,0.20177613250406926
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,10,0.8257949986554483,0.20650749488813464
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,11,0.8065852856108041,0.203615130086274
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,mean_pool,12,0.8283040439048691,0.24139975772658553
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,0,0.806860496561627,0.1693464428279738
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,1,0.7227870087249859,0.1713925121055733
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,2,0.7644821585978867,0.15324850240311377
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,3,0.7928854133990612,0.15747679032090264
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,4,0.8083639410922506,0.1701086364772038
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,5,0.8118965087908763,0.18429196693548386
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,6,0.817041512637457,0.19202493056621198
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,7,0.8271123106344432,0.19554177768328457
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,8,0.8307154157676236,0.19966704658113751
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,9,0.8302946234391715,0.20103606018037273
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,10,0.8155137772520086,0.1999627208450322
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,11,0.7862354030549743,0.19500573777348826
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,token_aligned,12,0.7968379169455858,0.21633872674466065
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,0,0.6823521039313025,0.20640742287532726
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,1,0.7172205119491031,0.2475273265545808
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,2,0.7464476352150905,0.18597921632872041
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,3,0.7787514430630306,0.19530368280830476
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,4,0.8126708093825404,0.22425443254437583
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,5,0.8346826676706327,0.24392666062632484
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,6,0.8361259771564886,0.24550464054714513
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,7,0.8411406116041122,0.25180632242225215
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,8,0.8365714670116774,0.25148168189599807
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,9,0.8297429554085681,0.2351371517014089
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,10,0.8292425859830833,0.22872738804213577
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,11,0.8142267803436816,0.2287581020991327
goldfish-models/eng_latn_1000mb,goldfish-models/tgl_latn_1000mb,flores,sgpt,12,0.8277268033450482,0.2454089213592824
