model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,0,0.5652853439354748,0.20326952251454025
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,1,0.7632659675580653,0.1767425827054915
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,2,0.7569393235591536,0.05896629469729316
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,3,0.7557475838004855,0.06639123384110357
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,4,0.7566521033741643,0.07854466112870187
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,5,0.7624037894687886,0.09020149247011794
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,6,0.766077391941841,0.10792523653045125
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,7,0.7693333664516081,0.14018690219801883
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,8,0.7755813776165539,0.1782181261134619
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,9,0.7876284236508352,0.2013164873469933
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,10,0.7899885226093363,0.21074259803053624
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,11,0.7671302131982666,0.21175487664545745
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,mean_pool,12,0.7950170091026528,0.2552355168592493
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,0,0.8776168551588422,0.37362179590904726
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,1,0.7957847379770169,0.32864026391997636
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,2,0.8370487920936598,0.3170187426118469
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,3,0.8650609677277108,0.3339638542344862
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,4,0.8770380873037824,0.36132766293391017
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,5,0.8784832430700328,0.38548782868821735
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,6,0.8830480289019681,0.3892202446065031
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,7,0.8901712322468022,0.38787219975975484
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,8,0.890161953590985,0.381594370764972
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,9,0.8902647804919163,0.37638012627560263
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,10,0.8865389234081896,0.36817689688134775
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,11,0.8723263827043088,0.3572561578365813
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,token_aligned,12,0.8821264402875736,0.3843659818373767
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,0,0.5539614037542718,0.18610806952609205
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,1,0.7058416256427061,0.24682475903408463
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,2,0.7415364766268965,0.19046772626543165
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,3,0.7605221986145857,0.20865689646962998
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,4,0.7815935823003332,0.23425652030076274
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,5,0.7906383473041033,0.24671996461493984
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,6,0.8009077968522074,0.24782564566137724
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,7,0.8060287315618506,0.25546523131487986
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,8,0.8112836498614808,0.2650624761499444
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,9,0.8166940573145315,0.2487280562803773
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,10,0.8124831330360649,0.24189097697258158
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,11,0.7908328262559763,0.2409248924743554
goldfish-models/eng_latn_1000mb,goldfish-models/uzb_latn_1000mb,flores,sgpt,12,0.8028496490716074,0.263143248782872
