model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,0,0.6462798360680799,0.2103088987794665
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,1,0.7471412618079194,0.1512185166498976
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,2,0.7541535907168204,0.05245729499323563
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,3,0.7475789104603467,0.05461763166314309
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,4,0.7371021301904035,0.05441429171540974
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,5,0.7236543717477628,0.056502802746917435
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,6,0.7053391872512876,0.06826957346500236
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,7,0.6986047869723047,0.09388888796920074
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,8,0.7131275424549968,0.138759094790247
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,9,0.7385337766296407,0.16829433977760686
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,10,0.7597975141504801,0.1863307262418433
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,11,0.7667691130208706,0.19166366650211777
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,mean_pool,12,0.7982770603616307,0.24200560143418412
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,0,0.8194569907638343,0.4183982604444976
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,1,0.8134542746803095,0.33970821120387457
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,2,0.8502664093049255,0.2925770399328163
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,3,0.876238833217719,0.297555936494515
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,4,0.8866055030746074,0.324030528108729
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,5,0.8811787055828387,0.34897054547557527
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,6,0.8820727968923785,0.35917639744524366
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,7,0.8858864117753719,0.3639916477071919
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,8,0.87929691361241,0.38516780739526
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,9,0.8803187035474955,0.3966854284213476
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,10,0.870264205930172,0.41494847213516556
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,11,0.8542100599932476,0.4249220212706506
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,token_aligned,12,0.870166243934168,0.4519087895010174
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,0,0.6551527289623941,0.2135812194883649
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,1,0.7094618955888204,0.2460731453604785
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,2,0.7426187897499452,0.1924252534575778
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,3,0.7508860347672857,0.2038848193719367
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,4,0.7635977949832299,0.2229465395772323
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,5,0.7655522209480333,0.22689564532098241
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,6,0.7716149883977702,0.23385769901947745
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,7,0.788613801250157,0.2461627429421406
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,8,0.8051980095124971,0.2621765651205674
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,9,0.8053287341341909,0.24722198024363887
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,10,0.8078941550610449,0.24105562214538095
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,11,0.8013426355128684,0.23739474241724506
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,flores,sgpt,12,0.8102748564738458,0.26025326124567066
