model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,0,0.23194257621891182,0.1540360150312049
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,1,0.37739672793258794,0.2469800555681204
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,2,0.42239353605199337,0.21825078897561032
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,3,0.4582711116040944,0.22321050342181467
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,4,0.47399671990227593,0.24842602448824905
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,5,0.46356202187449597,0.241617273785101
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,6,0.4743373797393695,0.23995530768650242
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,7,0.461625564831159,0.2407105400085822
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,8,0.4548496413576174,0.24698879932555776
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,9,0.44573419695577043,0.23939704919068677
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,10,0.3897567075881379,0.2044391625094582
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,11,0.35290828309134725,0.1833907123065618
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,12,0.33665139026095153,0.17335017975700245
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,0,0.8077104373173168,0.21560713024515754
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,1,0.6861862686984723,0.24163641332884944
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,2,0.7095399907410636,0.22858990205143986
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,3,0.7356330790186413,0.23575356571146008
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,4,0.7498959783953554,0.25490699919713017
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,5,0.7424596597145042,0.2699808117903998
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,6,0.7403967068105664,0.28669146834635356
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,7,0.7365118655523522,0.30945535848816635
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,8,0.7419923054062951,0.31466158452653636
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,9,0.7404788131100709,0.3063527175866604
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,10,0.7211059016279981,0.2968206894933151
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,11,0.7058121046305325,0.2833714821040618
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,12,0.7086895450779288,0.30151845432110713
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,0,0.28325835683838896,0.16156253375075583
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,1,0.4119837532668989,0.2658965488383075
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,2,0.45470382282839183,0.22276276704558995
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,3,0.4835757340271854,0.2318059038409559
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,4,0.5079108385498718,0.2621981227026705
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,5,0.501997984918698,0.2631894017055041
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,6,0.5152615430260673,0.271053555327029
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,7,0.499182011509849,0.27262766907044356
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,8,0.4807597982266719,0.2664406472869948
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,9,0.472446638679095,0.2514124518548163
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,10,0.4136253299466018,0.21669763592272023
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,11,0.37090628886443644,0.19864411253063255
goldfish-models/eng_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,12,0.3586109829243824,0.19252690275801887
