model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,0,0.15993409057700403,0.08862584051991171
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,1,0.29478887013662497,0.16060550721156763
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,2,0.38358016205715123,0.1271476129591852
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,3,0.4056953889297105,0.11335681400244511
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,4,0.39272155000701664,0.11935846794814936
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,5,0.37730638297562513,0.11608572725818506
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,6,0.3899484988225097,0.12269116426660855
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,7,0.37111807011608877,0.12684721849054817
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,8,0.37553522595992517,0.13547273819388764
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,9,0.3571228680574136,0.1333190010025767
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,10,0.3027803185902731,0.12001960992026033
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,11,0.27720762710918084,0.11186286489877371
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,mean_pool,12,0.24639292284579167,0.10819181699779333
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,0,0.861107927255243,0.1893159390898229
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,1,0.7538948130523947,0.24847331365364356
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,2,0.7823700038840062,0.21680212598844065
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,3,0.7922573469515978,0.21624601740499072
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,4,0.7866290665804894,0.23466717520778066
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,5,0.7741564840915679,0.25267424122412513
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,6,0.7621970428303333,0.2823043980745229
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,7,0.7599933109674551,0.3112682294603445
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,8,0.7669392253796093,0.32121883270619694
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,9,0.7624435975422993,0.32131049598577993
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,10,0.741263269867189,0.3095996530190263
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,11,0.7281842171556479,0.2924919984660035
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,token_aligned,12,0.7245899708500112,0.2949220146287243
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,0,0.20366528258989583,0.10108115486386138
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,1,0.31798842798284305,0.18402553291489349
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,2,0.3843054352246116,0.15285713476810675
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,3,0.42277447104793103,0.14649252836888096
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,4,0.4296104238146568,0.15730249868491494
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,5,0.41335225567459344,0.15604732379455027
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,6,0.429608887919649,0.17570551391631373
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,7,0.4058989774711424,0.17549936304177424
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,8,0.39018450580713193,0.1710189351232576
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,9,0.3671813861644824,0.1575293508197932
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,10,0.3136493827883943,0.1351149786398312
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,11,0.28437119491343865,0.12317839450513171
goldfish-models/swa_latn_100mb,goldfish-models/yor_latn_100mb,flores,sgpt,12,0.2693131120467369,0.11954304939801562
