lang_a,lang_b,cka_sgpt_final,uriel_genetic,uriel_syntactic,uriel_geographic,uriel_inventory,nll_a,nll_b,mean_nll,nll_diff
arb_arab,deu_latn,0.7991873783353947,1.0,0.356279,0.024994,0.353502,4.68206,4.087091,4.3845755,0.5949689999999999
arb_arab,eng_latn,0.8100933668342586,1.0,0.355614,0.041104,0.268012,4.68206,4.142998,4.412529,0.5390619999999995
arb_arab,fra_latn,0.7990139966358591,1.0,0.278875,0.03502,0.313197,4.68206,3.416635,4.0493475,1.265425
arb_arab,hin_deva,0.7566382833448912,1.0,0.340766,0.021957,0.248749,4.68206,4.157772,4.419916,0.5242880000000003
arb_arab,jpn_jpan,0.766504816425694,1.0,0.617765,0.119802,0.38421,4.68206,4.736657,4.7093585000000004,0.05459700000000023
arb_arab,rus_cyrl,0.8002267908290057,1.0,0.255613,0.027313,0.363005,4.68206,4.069501,4.375780499999999,0.6125590000000001
arb_arab,spa_latn,0.8022983094875316,1.0,0.246589,0.036482,0.348024,4.68206,3.872617,4.2773385,0.8094429999999999
arb_arab,zho_hans,0.7690112102235585,1.0,0.468915,0.071586,0.358467,4.68206,4.921681,4.8018705,0.23962100000000053
deu_latn,eng_latn,0.8529399718281486,0.455669,0.097458,0.002358,0.23723,4.087091,4.142998,4.1150445,0.05590700000000037
deu_latn,fra_latn,0.8417306352548912,0.882149,0.199945,0.001265,0.164694,4.087091,3.416635,3.751863,0.6704560000000002
deu_latn,hin_deva,0.7706560961723748,0.845697,0.333144,0.069398,0.313507,4.087091,4.157772,4.122431499999999,0.07068099999999955
deu_latn,jpn_jpan,0.8035684269890347,1.0,0.432907,0.137879,0.339599,4.087091,4.736657,4.411874,0.6495660000000001
deu_latn,rus_cyrl,0.829710728283296,0.795876,0.176414,0.03294,0.296647,4.087091,4.069501,4.078296,0.017590000000000217
deu_latn,spa_latn,0.8332589965426941,0.882149,0.214063,0.004135,0.450195,4.087091,3.872617,3.979854,0.21447400000000005
deu_latn,zho_hans,0.7898084420391938,1.0,0.365098,0.103549,0.326425,4.087091,4.921681,4.504386,0.8345900000000004
eng_latn,fra_latn,0.8607684632587459,0.903775,0.188246,0.000744,0.259132,4.142998,3.416635,3.7798165,0.7263630000000005
eng_latn,hin_deva,0.7880470632609718,0.874012,0.383805,0.08903,0.290909,4.142998,4.157772,4.150385,0.014773999999999177
eng_latn,jpn_jpan,0.8164770453804351,1.0,0.499807,0.14353,0.346115,4.142998,4.736657,4.4398275,0.5936589999999997
eng_latn,rus_cyrl,0.835049411285279,0.833333,0.188246,0.041865,0.352504,4.142998,4.069501,4.1062495000000006,0.07349700000000059
eng_latn,spa_latn,0.8525605376789266,0.903775,0.178406,0.004072,0.361821,4.142998,3.872617,4.0078075,0.2703810000000004
eng_latn,zho_hans,0.8158327184220537,1.0,0.289228,0.115831,0.302723,4.142998,4.921681,4.532339500000001,0.778683
fra_latn,hin_deva,0.7672879799138347,0.890891,0.34935,0.085816,0.277654,3.416635,4.157772,3.7872034999999995,0.7411369999999997
fra_latn,jpn_jpan,0.7999806136609385,1.0,0.556606,0.151448,0.333891,3.416635,4.736657,4.076646,1.3200220000000003
fra_latn,rus_cyrl,0.8299890341996479,0.855662,0.190476,0.044091,0.293286,3.416635,4.069501,3.743068,0.652866
fra_latn,spa_latn,0.8487036194840533,0.25,0.156565,0.001612,0.373109,3.416635,3.872617,3.6446259999999997,0.4559820000000001
fra_latn,zho_hans,0.7964504845838888,1.0,0.382292,0.119643,0.289689,3.416635,4.921681,4.169158,1.5050460000000006
hin_deva,jpn_jpan,0.770685820413344,1.0,0.366444,0.059597,0.394551,4.157772,4.736657,4.447214499999999,0.5788850000000005
hin_deva,rus_cyrl,0.7702922646895513,0.811018,0.301154,0.021122,0.329379,4.157772,4.069501,4.1136365,0.08827099999999977
hin_deva,spa_latn,0.7635691484708149,0.890891,0.317073,0.094479,0.430197,4.157772,3.872617,4.0151945,0.2851549999999996
hin_deva,zho_hans,0.7692785687414113,1.0,0.324789,0.022601,0.321072,4.157772,4.921681,4.5397265,0.7639090000000008
jpn_jpan,rus_cyrl,0.7984217792031093,1.0,0.478359,0.051657,0.322355,4.736657,4.069501,4.403079,0.6671560000000003
jpn_jpan,spa_latn,0.8033858821821571,1.0,0.577629,0.171703,0.392823,4.736657,3.872617,4.304637,0.8640400000000001
jpn_jpan,zho_hans,0.8299082126572996,1.0,0.296268,0.010528,0.340088,4.736657,4.921681,4.829169,0.1850240000000003
rus_cyrl,spa_latn,0.8188042272123589,0.855662,0.180663,0.05719,0.304275,4.069501,3.872617,3.971059,0.19688399999999984
rus_cyrl,zho_hans,0.8014149279556881,1.0,0.308167,0.025769,0.369874,4.069501,4.921681,4.495591,0.8521800000000006
spa_latn,zho_hans,0.7981920961042114,1.0,0.374805,0.136779,0.424945,3.872617,4.921681,4.397149000000001,1.0490640000000004
