method,train_mse,mse,cka,p_at_1,p_at_5,p_at_10,p_at_1_pool,p_at_5_pool,p_at_10_pool,pair,src,tgt,datasets,size,layer,n_train,n_test,elapsed_s,ridge_lambda,mlp_train_loss_final,mlp_val_loss_final,mlp_test_loss_final,mlp_best_val_loss,mlp_best_epoch,mlp_epochs_run
identity,0.00018114260456059128,0.00018379173707216978,0.7381052645533005,0.004918032786885246,0.02459016393442623,0.040983606557377046,0.001639344262295082,0.00819672131147541,0.013114754098360656,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,0,2440,610,6.25,,,,,,,
procrustes,5.151559162186459e-05,7.567207649117336e-05,0.7381052681260921,0.5491803278688525,0.7295081967213115,0.7770491803278688,0.4,0.5754098360655737,0.6459016393442623,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,0,2440,610,6.25,,,,,,,
affine,2.8618496799026616e-05,6.594599835807458e-05,0.766991109799535,0.5622950819672131,0.7180327868852459,0.7885245901639344,0.39344262295081966,0.5852459016393443,0.6475409836065574,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,0,2440,610,6.25,,,,,,,
ridge,3.700074375956319e-05,4.8450037866132334e-05,0.8096897706927354,0.4672131147540984,0.659016393442623,0.7360655737704918,0.29180327868852457,0.49836065573770494,0.5688524590163935,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,0,2440,610,6.25,0.1,,,,,,
mlp,7.254596130223945e-05,7.443768117809668e-05,0.6663686527481582,0.001639344262295082,0.00819672131147541,0.01639344262295082,0.0,0.0,0.001639344262295082,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,0,2440,610,6.25,,7.272473906466205e-05,7.051873399177566e-05,7.443659706041217e-05,7.050665590213612e-05,74.0,95.0
identity,0.036986757069826126,0.037433914840221405,0.7619941236308916,0.001639344262295082,0.003278688524590164,0.006557377049180328,0.0,0.0,0.0,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,1,2440,610,3.9,,,,,,,
procrustes,0.0052632177248597145,0.006969483103603125,0.7619941277576507,0.8327868852459016,0.9344262295081968,0.9622950819672131,0.680327868852459,0.8459016393442623,0.9049180327868852,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,1,2440,610,3.9,,,,,,,
affine,0.002656567608937621,0.006097760051488876,0.7749569692316461,0.7655737704918033,0.9163934426229509,0.9475409836065574,0.5885245901639344,0.7885245901639344,0.8508196721311475,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,1,2440,610,3.9,,,,,,,
ridge,0.0036665808875113726,0.004588020499795675,0.8148426727582927,0.7245901639344262,0.8721311475409836,0.9245901639344263,0.5508196721311476,0.7426229508196721,0.8114754098360656,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,1,2440,610,3.9,10.0,,,,,,
mlp,0.005435846280306578,0.005673857871443033,0.7713755215923557,0.09344262295081968,0.24262295081967214,0.34262295081967215,0.02459016393442623,0.07213114754098361,0.12786885245901639,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,1,2440,610,3.9,,0.005426215606608561,0.005652771331369877,0.005672195460647345,0.005643459968268871,24.0,45.0
identity,0.08685753494501114,0.08774358034133911,0.8095505298774428,0.001639344262295082,0.003278688524590164,0.009836065573770493,0.0,0.0,0.003278688524590164,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,2,2440,610,6.13,,,,,,,
procrustes,0.008787652477622032,0.011311146430671215,0.809550528557422,0.860655737704918,0.9459016393442623,0.9737704918032787,0.7295081967213115,0.8950819672131147,0.9245901639344263,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,2,2440,610,6.13,,,,,,,
affine,0.004479352384805679,0.010212471708655357,0.8128625231367571,0.8295081967213115,0.9360655737704918,0.9622950819672131,0.6885245901639344,0.8655737704918033,0.9065573770491804,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,2,2440,610,6.13,,,,,,,
ridge,0.0059891738928854465,0.007720428518950939,0.8522134350669313,0.8295081967213115,0.9344262295081968,0.9622950819672131,0.6918032786885245,0.8491803278688524,0.8967213114754098,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,2,2440,610,6.13,10.0,,,,,,
mlp,0.008574501611292362,0.009040283970534801,0.8408959778308684,0.3295081967213115,0.6081967213114754,0.7311475409836066,0.14754098360655737,0.3344262295081967,0.44426229508196724,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,2,2440,610,6.13,,0.008597650019718068,0.008852984756231308,0.009042685851454735,0.008814516477286816,91.0,112.0
identity,0.12979024648666382,0.1309855878353119,0.798842667772878,0.0,0.004918032786885246,0.00819672131147541,0.0,0.001639344262295082,0.001639344262295082,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,3,2440,610,5.69,,,,,,,
procrustes,0.014706256799399853,0.018986044451594353,0.7988426788442796,0.9180327868852459,0.9737704918032787,0.9819672131147541,0.8081967213114755,0.9344262295081968,0.9606557377049181,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,3,2440,610,5.69,,,,,,,
affine,0.007827438414096832,0.017856108024716377,0.8046488873697594,0.8885245901639345,0.9754098360655737,0.980327868852459,0.759016393442623,0.9,0.9393442622950819,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,3,2440,610,5.69,,,,,,,
ridge,0.009950496256351471,0.013494065962731838,0.8494774383092929,0.8885245901639345,0.9737704918032787,0.980327868852459,0.7967213114754098,0.9229508196721311,0.9491803278688524,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,3,2440,610,5.69,10.0,,,,,,
mlp,0.014062132686376572,0.015035349875688553,0.8427507258561736,0.6213114754098361,0.8590163934426229,0.9114754098360656,0.3639344262295082,0.6557377049180327,0.7639344262295082,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,3,2440,610,5.69,,0.014036486031753677,0.015130292624235153,0.015070516616106033,0.015091919340193272,78.0,99.0
identity,0.17374838888645172,0.1756061613559723,0.794479091827426,0.0,0.003278688524590164,0.011475409836065573,0.0,0.001639344262295082,0.001639344262295082,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,4,2440,610,6.19,,,,,,,
procrustes,0.021502746269106865,0.028301548212766647,0.7944790917857291,0.9508196721311475,0.9885245901639345,0.9918032786885246,0.8639344262295082,0.9622950819672131,0.9737704918032787,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,4,2440,610,6.19,,,,,,,
affine,0.011394333094358444,0.02567680925130844,0.812108923190099,0.9245901639344263,0.9836065573770492,0.9868852459016394,0.8311475409836065,0.9491803278688524,0.9655737704918033,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,4,2440,610,6.19,,,,,,,
ridge,0.01364697702229023,0.019870523363351822,0.8487463092485976,0.9344262295081968,0.9819672131147541,0.9901639344262295,0.8540983606557377,0.9573770491803278,0.9704918032786886,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,4,2440,610,6.19,10.0,,,,,,
mlp,0.01929747313261032,0.021101903170347214,0.8482616045806172,0.7754098360655738,0.9278688524590164,0.9606557377049181,0.5672131147540984,0.8245901639344262,0.8819672131147541,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,4,2440,610,6.19,,0.01915243762944426,0.021518494933843613,0.021166356280446053,0.021456241607666016,93.0,114.0
identity,0.2138879895210266,0.21599087119102478,0.7879088326006569,0.0,0.004918032786885246,0.013114754098360656,0.0,0.001639344262295082,0.001639344262295082,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,5,2440,610,9.01,,,,,,,
procrustes,0.02636551856994629,0.03545563668012619,0.7879088279850179,0.9557377049180328,0.9901639344262295,0.9950819672131147,0.8786885245901639,0.9704918032786886,0.980327868852459,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,5,2440,610,9.01,,,,,,,
affine,0.013428953476250172,0.030271949246525764,0.8243971473882261,0.9327868852459016,0.9819672131147541,0.9868852459016394,0.8311475409836065,0.9508196721311475,0.9688524590163935,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,5,2440,610,9.01,,,,,,,
ridge,0.01948915235698223,0.023206301033496857,0.8562018169595973,0.8885245901639345,0.9655737704918033,0.980327868852459,0.759016393442623,0.9098360655737705,0.9442622950819672,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,5,2440,610,9.01,100.0,,,,,,
mlp,0.021460529416799545,0.024217793717980385,0.8612795832442434,0.8163934426229508,0.9557377049180328,0.9655737704918033,0.6557377049180327,0.8557377049180328,0.9098360655737705,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,5,2440,610,9.01,,0.021279845173869813,0.023848949000239372,0.024220313876867294,0.023831814527511597,185.0,200.0
identity,0.2648184895515442,0.26789942383766174,0.7692848907056562,0.001639344262295082,0.004918032786885246,0.01639344262295082,0.0,0.003278688524590164,0.003278688524590164,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,6,2440,610,7.38,,,,,,,
procrustes,0.03339068964123726,0.0460086390376091,0.7692848558044476,0.9672131147540983,0.9868852459016394,0.9950819672131147,0.8967213114754098,0.9770491803278688,0.9868852459016394,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,6,2440,610,7.38,,,,,,,
affine,0.016407469287514687,0.036972563713788986,0.8274459650386715,0.9278688524590164,0.9868852459016394,0.9918032786885246,0.8426229508196721,0.9459016393442623,0.9672131147540983,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,6,2440,610,7.38,,,,,,,
ridge,0.022779662162065506,0.028108734637498856,0.8603737355128303,0.9147540983606557,0.9737704918032787,0.9868852459016394,0.8065573770491803,0.9377049180327869,0.9606557377049181,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,6,2440,610,7.38,100.0,,,,,,
mlp,0.02505781129002571,0.029055751860141754,0.8640615085929126,0.8377049180327869,0.9606557377049181,0.9819672131147541,0.7,0.8852459016393442,0.9278688524590164,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,6,2440,610,7.38,,0.024834419999803816,0.02822808176279068,0.02906445972621441,0.028207432478666306,134.0,155.0
identity,0.33173614740371704,0.3361795246601105,0.7678029539341349,0.003278688524590164,0.006557377049180328,0.01639344262295082,0.0,0.003278688524590164,0.004918032786885246,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,7,2440,610,7.56,,,,,,,
procrustes,0.04610881954431534,0.06434208899736404,0.7678029484773508,0.9737704918032787,0.9934426229508196,0.9967213114754099,0.919672131147541,0.9754098360655737,0.9901639344262295,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,7,2440,610,7.56,,,,,,,
affine,0.024074329063296318,0.05369652062654495,0.8262747132113286,0.9344262295081968,0.9868852459016394,0.9950819672131147,0.8426229508196721,0.9590163934426229,0.978688524590164,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,7,2440,610,7.56,,,,,,,
ridge,0.031901098787784576,0.04086323454976082,0.8573474629377016,0.9180327868852459,0.9852459016393442,0.9918032786885246,0.839344262295082,0.9524590163934427,0.9688524590163935,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,7,2440,610,7.56,100.0,,,,,,
mlp,0.03433419018983841,0.04173173010349274,0.8580249557042163,0.8786885245901639,0.9770491803278688,0.9868852459016394,0.7672131147540984,0.9344262295081968,0.9557377049180328,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,7,2440,610,7.56,,0.033534398887838636,0.0414254330098629,0.04172641038894653,0.04140320047736168,140.0,161.0
identity,0.4481039047241211,0.45319864153862,0.776817976227991,0.003278688524590164,0.004918032786885246,0.013114754098360656,0.0,0.001639344262295082,0.004918032786885246,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,8,2440,610,8.01,,,,,,,
procrustes,0.07089710980653763,0.0988989844918251,0.7768179776468666,0.9770491803278688,0.9950819672131147,0.9950819672131147,0.9180327868852459,0.9836065573770492,0.9934426229508196,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,8,2440,610,8.01,,,,,,,
affine,0.03813883289694786,0.08437090367078781,0.8112393717731741,0.9426229508196722,0.9819672131147541,0.9950819672131147,0.8655737704918033,0.9622950819672131,0.9770491803278688,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,8,2440,610,8.01,,,,,,,
ridge,0.04794134199619293,0.06436572223901749,0.8442675421454016,0.9377049180327869,0.9885245901639345,0.9934426229508196,0.8557377049180328,0.9590163934426229,0.9770491803278688,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,8,2440,610,8.01,100.0,,,,,,
mlp,0.048938240855932236,0.06500789523124695,0.8436496235903899,0.9245901639344263,0.9836065573770492,0.9934426229508196,0.8098360655737705,0.9573770491803278,0.9770491803278688,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,8,2440,610,8.01,,0.047144805639982225,0.06431127339601517,0.06495868414640427,0.06419333815574646,152.0,173.0
identity,0.6324379444122314,0.6376825571060181,0.7765566338799144,0.003278688524590164,0.006557377049180328,0.019672131147540985,0.0,0.001639344262295082,0.004918032786885246,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,9,2440,610,6.48,,,,,,,
procrustes,0.10596500337123871,0.14547210931777954,0.7765566347799012,0.9639344262295082,0.9918032786885246,0.9950819672131147,0.8950819672131147,0.980327868852459,0.9901639344262295,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,9,2440,610,6.48,,,,,,,
affine,0.05872305855154991,0.1288159191608429,0.8026005617747307,0.9311475409836065,0.9852459016393442,0.9934426229508196,0.840983606557377,0.9590163934426229,0.9754098360655737,eng_latn-zho_hans,eng_latn,zho_hans,flores+opus+tatoeba+bouquet,1000mb,9,2440,610,6.48,,,,,,,
