residual_frob2,target_frob2,residual_eff_rank,target_eff_rank,rotated_eff_rank,residual_k50,residual_k90,residual_k95,residual_k99,target_k90,target_k95,residual_frac_outside_Ytop10,residual_frac_outside_Ytop50,residual_to_target_frob_ratio,n_test,dim,pair,src,tgt,layer,n_train,size,elapsed_s
51.08818450643473,50.76041212135246,117.92032897203477,28.817414812537226,38.341082029234926,71,361,464,632,246,359,0.8273664712905884,0.6569468975067139,1.0032234269413507,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,0,4690,1000mb,1.374
4909.063063642982,5522.088999103583,166.80826391699344,33.014950522391736,51.86417155904735,65,252,337,522,151,216,0.8959155678749084,0.6704188585281372,0.9428608534835747,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,1,4690,1000mb,1.177
7081.255216664934,9285.265204708483,141.09630554277513,20.028688997563197,32.84457211513349,59,252,340,529,135,201,0.8767408728599548,0.6379722356796265,0.8732889547918969,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,2,4690,1000mb,1.169
11958.649330601527,16670.47639026926,143.03013453889096,31.03579367398207,35.87962078886886,56,269,367,560,142,218,0.8854681253433228,0.6121901273727417,0.8469681129671678,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,3,4690,1000mb,1.172
19273.03333328105,28571.625347105313,171.50473406507464,42.352084169458415,43.590800964120774,64,296,398,585,158,244,0.9065548181533813,0.6441711187362671,0.8213108552358332,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,4,4690,1000mb,1.169
26424.4216712034,38241.13977346638,204.53034492027194,52.60658289745551,49.79213835820675,76,324,425,605,188,283,0.9210118055343628,0.6947113275527954,0.8312608588316968,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,5,4690,1000mb,1.173
36367.047906138614,54781.21639137562,227.0002341288517,60.072614858917106,56.86322446862487,83,341,442,616,199,297,0.928880512714386,0.718542218208313,0.8147759262632225,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,6,4690,1000mb,1.174
52585.09601031545,83887.92871051014,239.78902298389443,66.76237414124844,64.91729483032852,86,350,451,622,202,301,0.9288092851638794,0.7213137745857239,0.7917382009926154,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,7,4690,1000mb,1.178
75028.17853316522,119002.65026095578,245.77207691971077,66.66219343417833,72.88667051694192,90,357,458,627,202,303,0.9315679669380188,0.7325473427772522,0.7940244667942349,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,8,4690,1000mb,1.177
106888.04294910007,178426.2344247042,230.03633027284332,61.614899600241394,68.1047623148519,86,357,459,627,195,296,0.9207969307899475,0.7104445099830627,0.7739897471223828,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,9,4690,1000mb,1.177
147465.11886132677,241915.08058880587,213.94284630487348,59.22765060980593,61.30698781439921,85,358,459,628,194,296,0.9172576665878296,0.7046914100646973,0.7807521366184516,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,10,4690,1000mb,1.176
191767.50682804632,311795.2665635464,187.04561266131634,53.026729179239496,55.31194660020302,83,358,459,629,193,295,0.9046134948730469,0.6933435797691345,0.7842467942563517,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,11,4690,1000mb,1.185
450861.6223882469,626119.7439232791,228.72626059462328,68.52213999110718,70.69423677673183,88,362,463,630,208,312,0.9266545176506042,0.729006826877594,0.8485802803976001,1173,768,eng_latn-fra_latn,eng_latn,fra_latn,12,4690,1000mb,1.176
